Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
199,1764879986753,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.36842346191406,38.095237731933594,47.36842346191406,30.000001907348633,50,26.3157901763916,44.4444465637207,31.57894515991211,57.894737243652344,60.000003814697266,57.142860412597656,55,38.88888931274414,42.85714340209961,50,31.57894515991211,57.142860412597656,40,44.4444465637207,33.333335876464844,0,2407.7434692382813,2173.4971923828125,0,33410260992,0,3571568640,0
199,1764879986954,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.619049072265625,31.57894515991211,42.105262756347656,36.842105865478516,52.6315803527832,30.000001907348633,50,30.000001907348633,63.15789031982422,57.894737243652344,60.000003814697266,59.09090805053711,57.142860412597656,25,47.36842346191406,30.000001907348633,47.36842346191406,25,47.619049072265625,30.000001907348633,0,2410.9924926757813,2176.4523315429688,0,33410260992,0,3564265472,0
199,1764879987154,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.619049072265625,31.57894515991211,42.105262756347656,36.842105865478516,52.6315803527832,30.000001907348633,50,30.000001907348633,63.15789031982422,57.894737243652344,60.000003814697266,59.09090805053711,57.142860412597656,25,47.36842346191406,30.000001907348633,47.36842346191406,25,47.619049072265625,30.000001907348633,0,2417.1686401367188,2182.3276977539063,0,33410260992,0,3573649408,0
199,1764879987354,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,51.351348876953125,36.842105865478516,51.28205490112305,38.46154022216797,52.499996185302734,31.57894515991211,56.09756088256836,35,62.16216278076172,62.5,60.000003814697266,56.41025924682617,53.658538818359375,42.5,48.71794891357422,37.5,51.28205490112305,39.02438735961914,55,35.897438049316406,0,2420.3795776367188,2185.2423706054688,0,33410260992,0,3590684672,0
199,1764879987553,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,51.351348876953125,36.842105865478516,51.28205490112305,38.46154022216797,52.499996185302734,31.57894515991211,56.09756088256836,35,62.16216278076172,62.5,60.000003814697266,56.41025924682617,53.658538818359375,42.5,48.71794891357422,37.5,51.28205490112305,39.02438735961914,55,35.897438049316406,0,2427.1815795898438,2191.739013671875,0,33410260992,0,3627790336,0
199,1764879987754,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,48.71794891357422,45,50,34.14634323120117,48.780487060546875,32.5,52.6315803527832,35,65,60.52631759643555,60.52631759643555,60.000003814697266,47.36842346191406,41.46341323852539,56.09756088256836,38.095237731933594,52.499996185302734,31.57894515991211,47.36842346191406,32.5,0,2431.5639038085938,2195.8238525390625,0,33410260992,0,3640369152,0
199,1764879987954,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,48.71794891357422,45,50,34.14634323120117,48.780487060546875,32.5,52.6315803527832,35,65,60.52631759643555,60.52631759643555,60.000003814697266,47.36842346191406,41.46341323852539,56.09756088256836,38.095237731933594,52.499996185302734,31.57894515991211,47.36842346191406,32.5,0,2435.98193359375,2199.9498291015625,0,33410260992,0,3652653056,0
199,1764879988154,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,42.5,35.71428680419922,43.90243911743164,27.5,43.90243911743164,29.268291473388672,43.90243911743164,30.000001907348633,48.71794891357422,50,47.5,44.73684310913086,40,32.5,51.28205490112305,33.333335876464844,37.83783721923828,30.76923179626465,43.90243911743164,30.000001907348633,0,2441.982177734375,2205.6445922851563,0,33410260992,0,3683921920,0
199,1764879988354,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,50,36.842105865478516,47.36842346191406,30.000001907348633,50,26.3157901763916,55,30.000001907348633,63.15789031982422,55.55555725097656,57.894737243652344,57.894737243652344,50,31.57894515991211,47.36842346191406,33.333335876464844,50,33.333335876464844,42.105262756347656,30.000001907348633,0,2445.1925659179688,2208.5588989257813,0,33410260992,0,3700953088,0
199,1764879988554,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.36842346191406,31.57894515991211,50,35,47.36842346191406,30.000001907348633,47.619049072265625,33.333335876464844,61.904762268066406,55.55555725097656,55,50,45,38.095237731933594,50,40,47.619049072265625,36.842105865478516,45,40,0,2449.2118530273438,2212.2748413085938,0,33410260992,0,3789008896,0
199,1764879988754,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.36842346191406,31.57894515991211,50,35,47.36842346191406,30.000001907348633,47.619049072265625,33.333335876464844,61.904762268066406,55.55555725097656,55,50,45,38.095237731933594,50,40,47.619049072265625,36.842105865478516,45,40,0,2456.4028930664063,2219.1608276367188,0,33410260992,0,3797921792,0
199,1764879988954,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,41.46341323852539,35,40,30.76923179626465,39.47368621826172,32.5,43.589744567871094,30.76923179626465,56.41025924682617,52.38095474243164,48.71794891357422,50,51.28205490112305,33.333335876464844,43.589744567871094,28.205129623413086,42.105262756347656,36.585365295410156,41.02564239501953,30.000001907348633,0,2460.5578002929688,2223.0206909179688,0,33410260992,0,3804340224,0
199,1764879989154,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.36842346191406,45,55,35,57.142860412597656,40,52.38095474243164,40,65,63.15789031982422,57.894737243652344,57.142860412597656,50,42.85714340209961,50,35.29411697387695,66.66667175292969,40,55,40,0,2464.1482543945313,2226.3125610351563,0,33410260992,0,3830059008,0
199,1764879989354,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.36842346191406,45,55,35,57.142860412597656,40,52.38095474243164,40,65,63.15789031982422,57.894737243652344,57.142860412597656,50,42.85714340209961,50,35.29411697387695,66.66667175292969,40,55,40,0,2470.8192749023438,2232.6836547851563,0,33410260992,0,3832209408,0
199,1764879989554,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,35,33.333335876464844,35.897438049316406,22.5,33.333335876464844,26.19047737121582,35,30.000001907348633,42.5,39.47368621826172,41.46341323852539,42.5,40,25.641027450561523,33.333335876464844,25,57.5,25.641027450561523,35,25,0,2478.24853515625,2239.815185546875,0,33410260992,0,3872403456,0
199,1764879989754,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,52.6315803527832,57.142860412597656,55,33.333335876464844,47.36842346191406,36.842105865478516,52.6315803527832,40,63.15789031982422,61.904762268066406,63.15789031982422,57.894737243652344,52.6315803527832,52.38095474243164,55,52.38095474243164,55,45.45454788208008,52.6315803527832,40,0,2485.320068359375,2246.5805053710938,0,33410260992,0,3905388544,0
199,1764879989954,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,47.619049072265625,27.77777862548828,45,25,42.105262756347656,25,42.105262756347656,30.000001907348633,56.52173614501953,50,47.36842346191406,41.17647171020508,50,28.571430206298828,38.88888931274414,21.052631378173828,45,27.77777862548828,45,26.3157901763916,0,2491.4070434570313,2252.371826171875,0,33410260992,0,3903119360,0
199,1764879990155,2146,2119,1903,800,2029,799,1862,803,2538,2470,2472,2492,2123,800,1056,1878,1650,800,2276,800,26.3157901763916,25,36.3636360168457,35,36.842105865478516,20,45.45454788208008,27.272727966308594,42.105262756347656,40,33.333335876464844,40.90909194946289,38.095237731933594,25,54.54545593261719,26.3157901763916,33.333335876464844,31.81818199157715,35,25,0,2495.2726440429688,2255.9448852539063,0,33410260992,0,3906650112,0
